cluster,latitude,longitude,recency_danger_metric,danger_metric,danger_metric_trajectory,n_serious,n_fatal,danger_rank,gmaps_link
0,51.48666925,-0.17065775,8.559732872490525,8,0.020779220779220772,8,0,54.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48666925+-0.17065775
43,51.481218375,-0.11077287499999999,8.515343893088382,10,-0.03896103896103897,7,1,55.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.481218375+-0.11077287499999999
443,51.517297,-0.1428634,8.261207656340668,7,0.02987012987012987,4,1,56.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.517297+-0.1428634
171,51.53124816666667,-0.11430866666666667,8.248691098918671,8,-1.7302177007145297e-18,5,1,57.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.53124816666667+-0.11430866666666667
70,51.529646750000005,-0.097397625,8.216472044570093,8,0.014285714285714284,8,0,58.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.529646750000005+-0.097397625
51,51.47324485714286,-0.121556,8.07212125973435,7,0.049350649350649346,7,0,59.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.47324485714286+-0.121556
200,51.504974875,-0.09568225,8.061278726541605,8,0.002597402597402596,8,0,60.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.504974875+-0.09568225
418,51.5427544,-0.1374476,8.044260593366035,7,0.022077922077922082,4,1,61.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5427544+-0.1374476
102,51.49715285714286,-0.146347,8.043693551740493,7,0.03896103896103896,7,0,62.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.49715285714286+-0.146347
313,51.516036799999995,-0.06972300000000001,7.874483441227206,7,0.01948051948051948,4,1,63.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.516036799999995+-0.06972300000000001
6,51.48681928571428,-0.17938714285714288,7.849903686110649,9,-0.04155844155844156,6,1,64.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48681928571428+-0.17938714285714288
509,51.47456116666667,-0.12277300000000001,7.777427895436121,6,0.06233766233766234,6,0,65.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.47456116666667+-0.12277300000000001
157,51.48307500000001,-0.18581233333333333,7.770903358408445,8,-0.006493506493506494,5,1,66.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48307500000001+-0.18581233333333333
528,51.430791666666664,-0.16507983333333334,7.719938741622988,6,0.05974025974025974,6,0,67.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.430791666666664+-0.16507983333333334
106,51.5262746,-0.1336252,7.71870319461068,7,0.029870129870129863,4,1,68.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5262746+-0.1336252
263,51.488582428571426,-0.12937171428571428,7.715099070341855,7,0.015584415584415588,7,0,69.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488582428571426+-0.12937171428571428
39,51.518357,-0.06292733333333334,7.618332649493118,8,-0.02077922077922078,5,1,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518357+-0.06292733333333334
555,51.51086475,-0.3194795,7.613252387714892,6,0.05194805194805196,3,1,71.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51086475+-0.3194795
36,51.54603228571428,-0.07575614285714286,7.58297791933221,9,-0.03896103896103896,6,1,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54603228571428+-0.07575614285714286
127,51.488266571428575,-0.11134585714285714,7.537813052673231,7,0.016883116883116885,7,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488266571428575+-0.11134585714285714
122,51.463739999999994,-0.1326112857142857,7.528501635126446,7,0.02077922077922078,7,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463739999999994+-0.1326112857142857
489,51.54946183333333,-0.05974633333333334,7.513704961944834,6,0.049350649350649346,6,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54946183333333+-0.05974633333333334
154,51.57060971428571,-0.09605585714285714,7.485247020077046,7,0.015584415584415584,7,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.57060971428571+-0.09605585714285714
248,51.46463057142857,-0.2668568571428572,7.399613158266905,7,0.0025974025974025987,7,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46463057142857+-0.2668568571428572
449,51.507095,-0.10467549999999999,7.358368924479772,6,0.04155844155844157,6,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507095+-0.10467549999999999
412,51.5150185,-0.13578066666666666,7.357934847000454,6,0.04155844155844157,6,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5150185+-0.13578066666666666
434,51.49862066666666,-0.055157000000000005,7.35684775135924,6,0.04155844155844157,6,0,80.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.49862066666666+-0.055157000000000005
535,51.534900666666665,-0.0630945,7.348448954799554,6,0.03766233766233766,6,0,81.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534900666666665+-0.0630945
74,51.526768625,-0.1085855,7.3358737416119,8,-0.015584415584415591,8,0,82.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.526768625+-0.1085855
210,51.516007,-0.0817168,7.284721219164519,7,-1.2976632755358973e-18,4,1,83.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.516007+-0.0817168
488,51.470767,-0.2074515,7.264682604200889,6,0.03376623376623377,3,1,84.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.470767+-0.2074515
529,51.513674,-0.07663875,7.257033252334919,6,0.03376623376623377,3,1,85.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513674+-0.07663875
399,51.48527016666667,-0.13702683333333332,7.234684287737742,6,0.036363636363636355,6,0,86.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48527016666667+-0.13702683333333332
293,51.50615628571428,-0.20908285714285713,7.2276827181941545,7,-0.005194805194805193,7,0,87.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.50615628571428+-0.20908285714285713
441,51.49010833333333,-0.12696266666666667,7.212407893026589,6,0.03246753246753247,6,0,88.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.49010833333333+-0.12696266666666667
229,51.565305,-0.073142,7.174931593528443,7,-0.0025974025974025957,4,1,89.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.565305+-0.073142
219,51.521925571428575,-0.11042142857142857,7.125968963092556,7,-0.0012987012987012965,7,0,90.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.521925571428575+-0.11042142857142857
239,51.502165,-0.10981883333333332,7.0,8,-0.03636363636363637,5,1,91.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.502165+-0.10981883333333332
431,51.43414416666667,-0.10389416666666668,6.9681465903479625,6,0.024675324675324673,6,0,92.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.43414416666667+-0.10389416666666668
131,51.50119275,-0.078232,6.890756251918218,8,-0.03896103896103897,2,2,93.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.50119275+-0.078232
325,51.53100116666667,-0.06974066666666666,6.844193766721313,6,0.023376623376623377,6,0,94.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.53100116666667+-0.06974066666666666
370,51.5176385,-0.10516683333333333,6.828608345169373,6,0.015584415584415588,6,0,95.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5176385+-0.10516683333333333
223,51.5425895,-0.14180266666666666,6.69365661213802,6,0.02207792207792208,6,0,96.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5425895+-0.14180266666666666
448,51.50040975,-0.074375,6.675478813435211,6,0.0077922077922077905,3,1,97.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.50040975+-0.074375
142,51.54055566666667,-0.09593516666666667,6.6432789239406,6,0.023376623376623377,6,0,98.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54055566666667+-0.09593516666666667
87,51.48205216666667,-0.173493,6.640073784065388,6,0.023376623376623377,6,0,99.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48205216666667+-0.173493
158,51.513133,-0.1042975,6.633549247037712,6,0.02207792207792208,6,0,100.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513133+-0.1042975
