id,cluster,accident_year,latitude,longitude,n_serious,n_fatal,danger_rank,gmaps_link,date,time,junction_detail,junction_control
201401CW11685,263,2014,51.488311,-0.129695,1,0,69.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488311+-0.129695,2014-11-03,11:24,Crossroads,Auto traffic signal
2018010110956,263,2018,51.488724,-0.12953,1,0,69.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488724+-0.12953,2018-05-29,07:20,T or staggered junction,Auto traffic signal
2019010165080,263,2019,51.488748,-0.129371,1,0,69.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488748+-0.129371,2019-02-22,11:14,Crossroads,Auto traffic signal
200001HT00247,39,2000,51.518256,-0.063172,1,0,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518256+-0.063172,2000-03-23,23:50,Crossroads,Auto traffic signal
200801HT72885,39,2008,51.518429,-0.062732,1,0,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518429+-0.062732,2008-05-09,17:30,T or staggered junction,Give way or uncontrolled
200801HT75040,39,2008,51.518344,-0.063024,1,0,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518344+-0.063024,2008-09-23,12:35,More than 4 arms (not roundabout),Auto traffic signal
200901TC00237,39,2009,51.518431,-0.062876,0,1,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518431+-0.062876,2009-09-16,06:30,T or staggered junction,Auto traffic signal
201001TC00084,39,2010,51.518341,-0.06288,1,0,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518341+-0.06288,2010-03-02,21:57,T or staggered junction,Auto traffic signal
201101HT20391,39,2011,51.518341,-0.06288,1,0,70.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.518341+-0.06288,2011-06-15,09:45,T or staggered junction,Auto traffic signal
201401XD80757,555,2014,51.51079,-0.319581,1,0,71.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51079+-0.319581,2014-08-02,23:00,Crossroads,Auto traffic signal
