cluster,latitude,longitude,recency_danger_metric,danger_metric,danger_metric_trajectory,n_serious,n_fatal,danger_rank,gmaps_link
158,51.513133,-0.1042975,6.633549247037712,6,0.02207792207792208,6,0,100.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.513133+-0.1042975
242,51.4741505,-0.07733366666666666,6.633443205166375,6,0.014285714285714284,6,0,101.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.4741505+-0.07733366666666666
47,51.46117742857143,-0.11578999999999999,6.6323236425508325,7,-0.006493506493506496,7,0,102.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46117742857143+-0.11578999999999999
289,51.465162,-0.24392149999999999,6.631118941412462,6,0.01298701298701299,6,0,103.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.465162+-0.24392149999999999
458,51.452780999999995,-0.14745850000000002,6.6183326494931185,6,0.00779220779220779,6,0,104.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.452780999999995+-0.14745850000000002
567,51.429637,-0.0782586,6.565658953925204,5,0.05584415584415584,5,0,105.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.429637+-0.0782586
193,51.4500445,-0.12277016666666667,6.544147450938586,6,0.014285714285714287,6,0,106.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.4500445+-0.12277016666666667
163,51.52004016666667,-0.17058616666666668,6.512214634698237,6,0.02077922077922078,6,0,107.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52004016666667+-0.17058616666666668
19,51.50577814285714,-0.1308752857142857,6.483786926704381,7,-0.012987012987012991,7,0,108.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.50577814285714+-0.1308752857142857
290,51.46096883333333,-0.16236199999999998,6.4583053921180165,6,0.009090909090909094,6,0,109.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46096883333333+-0.16236199999999998
68,51.546496,-0.08710985714285714,6.455027682356781,7,-0.015584415584415588,7,0,110.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.546496+-0.08710985714285714
56,51.482406,-0.094515,6.430276668517774,6,0.01948051948051948,3,1,111.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.482406+-0.094515
556,51.485732199999994,-0.13447740000000002,6.411205413681833,5,0.046753246753246755,5,0,112.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.485732199999994+-0.13447740000000002
259,51.51639516666666,-0.13051500000000002,6.408465197159876,6,0.010389610389610388,6,0,113.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51639516666666+-0.13051500000000002
543,51.517304333333335,-0.12216266666666668,6.40823996531185,5,0.046753246753246755,2,1,114.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.517304333333335+-0.12216266666666668
369,51.51099925,-0.10806199999999999,6.381241468195862,6,0.0012987012987012972,3,1,115.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51099925+-0.10806199999999999
499,51.480185600000006,-0.1784316,6.380645319190925,5,0.046753246753246755,5,0,116.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.480185600000006+-0.1784316
308,51.53656275,-0.0618885,6.309885559660194,6,0.002597402597402597,3,1,117.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.53656275+-0.0618885
264,51.50023433333333,-0.12738133333333332,6.235609238365675,6,-0.0025974025974025965,6,0,118.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.50023433333333+-0.12738133333333332
438,51.4811768,-0.13836359999999998,6.1784646955239735,5,0.03766233766233766,5,0,119.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.4811768+-0.13836359999999998
426,51.5098684,-0.07451939999999999,6.177478782542322,5,0.03766233766233766,5,0,120.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5098684+-0.07451939999999999
485,51.5508826,-0.1407432,6.171282281122628,5,0.03636363636363636,5,0,121.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5508826+-0.1407432
191,51.568453166666664,-0.0301915,6.158188739549662,6,0.003896103896103896,6,0,122.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.568453166666664+-0.0301915
522,51.520173799999995,-0.0745146,6.149588567787744,5,0.03376623376623377,5,0,123.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.520173799999995+-0.0745146
409,51.48405066666667,-0.18431,6.137290798522468,5,0.03506493506493506,2,1,124.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48405066666667+-0.18431
94,51.5211665,-0.07870383333333333,6.128087007326553,6,0.006493506493506492,6,0,125.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5211665+-0.07870383333333333
175,51.52318875,-0.09864725,6.10281500385915,6,-0.005194805194805193,3,1,126.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.52318875+-0.09864725
413,51.54041959999999,-0.139913,6.086245902425956,5,0.03376623376623377,5,0,127.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54041959999999+-0.139913
31,51.534462600000005,-0.0770236,6.077041425742374,7,-0.023376623376623377,4,1,128.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.534462600000005+-0.0770236
343,51.5239158,-0.152955,6.076934484879172,5,0.03506493506493506,5,0,129.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.5239158+-0.152955
240,51.47394583333334,-0.11281366666666666,6.076786033508079,6,-0.002597402597402599,6,0,130.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.47394583333334+-0.11281366666666666
503,51.44962439999999,-0.0170714,6.059411937438656,5,0.02987012987012987,5,0,131.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.44962439999999+-0.0170714
124,51.4275756,-0.1336422,6.056904851336473,7,-0.029870129870129877,4,1,132.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.4275756+-0.1336422
472,51.490356399999996,-0.10383020000000001,6.020493871408287,5,0.028571428571428567,5,0,133.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.490356399999996+-0.10383020000000001
491,51.47364259999999,-0.089228,5.971709926217423,5,0.025974025974025976,5,0,134.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.47364259999999+-0.089228
283,51.550793999999996,-0.020921,5.948929117241326,6,-0.011688311688311689,2,1,135.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.550793999999996+-0.020921
